run_id,bh1_mass_msol,bh2_mass_msol,impact_parameter_au,bh1_schwarzschild_radius_km,bh2_schwarzschild_radius_km,simulation_duration_yr,bh1_v_init_x_kms,bh1_v_init_y_kms,bh1_v_init_total_kms,bh1_v_init_unit_x,bh1_v_init_unit_y,bh1_v_final_x_kms,bh1_v_final_y_kms,bh1_v_final_total_kms,bh1_v_final_unit_x,bh1_v_final_unit_y,bh1_deflection_angle_deg,bh2_v_init_x_kms,bh2_v_init_y_kms,bh2_v_init_total_kms,bh2_v_init_unit_x,bh2_v_init_unit_y,bh2_v_final_x_kms,bh2_v_final_y_kms,bh2_v_final_total_kms,bh2_v_final_unit_x,bh2_v_final_unit_y,bh2_deflection_angle_deg,merged,nearest_approach_dist_au,nearest_approach_time_s,remaining_dist_for_merger_au
1,100000.00000000001,100000.00000000001,0.0,295412.6555055405,295412.6555055405,0.8598958333333333,218287382.9328686,0.0,218287.3829328686,1.0,0.0,218287.3829328686,0.0,218287.3829328686,1.0,0.0,90.0,-215289.45835286856,0.0,215289.45835286856,0.0,0.0,-215289.45835286856,0.0,215289.45835286856,-1.0,0.0,0.0,1,0.0020826857927558097,74294.0,0.0
2,100000.00000000001,100000.00000000001,0.0010000142334913595,295412.6555055405,295412.6555055405,0.8598958333333333,218079465.2927156,-430613.55296269665,218079.89043098115,1.0,0.0,218079.4652927156,-430.61355296269664,218079.89043098115,0.9999980505388887,-0.0019745679077135224,89.99106929075025,-215081.5407127155,430.61355296269664,215081.97177677977,0.0,0.0,-215081.5407127155,430.61355296269664,215081.97177677977,-0.9999979958149876,0.0020020904095560538,0.008729334117601096,1,0.002092092823863608,74294.0,0.0
3,100000.00000000001,100000.00000000001,0.010000142334913595,295412.6555055405,295412.6555055405,0.8598958333333333,200551515.35006064,-3675157.7081219563,200585.18662499773,1.0,0.0,200551.51535006065,-3675.157708121956,200585.18662499773,0.9998321347876997,-0.01832217906994705,89.91051170739233,-197553.59077006072,3675.157708121956,197587.7729271834,0.0,0.0,-197553.59077006072,3675.157708121956,197587.7729271834,-0.999827002670174,0.018600127192467293,0.0871124373332445,1,0.0029636827227338255,74294.0,0.0
4,100000.00000000001,100000.00000000001,0.02000028466982719,295412.6555055405,295412.6555055405,0.8599074074074075,213073217.95598185,-8253186.519609321,213232.99767588696,1.0,0.0,213073.21795598185,-8253.18651960932,213232.99767588696,0.999250680140285,-0.03870501568502133,89.82129177434166,-210075.293375982,8253.18651960932,210237.35152139916,0.0,0.0,-210075.293375982,8253.18651960932,210237.35152139916,-0.9992291657774205,0.03925651869130051,0.17449063597337752,1,0.002319243931181938,74295.0,0.0
5,100000.00000000001,100000.00000000001,0.030000427004740784,295412.6555055405,295412.6555055405,0.8599189814814815,193163585.59835845,-10290888.105579928,193437.5175068578,1.0,0.0,193163.58559835845,-10290.888105579928,193437.5175068578,0.9985838739452927,-0.05320006293616279,89.73130568900027,-190165.66101835849,10290.888105579928,190443.9051493925,0.0,0.0,-190165.66101835849,10290.888105579928,190443.9051493925,-0.9985389706705724,0.05403632160087931,0.26110191551972706,1,0.003374789309748497,74296.0,0.0
6,100000.00000000001,100000.00000000001,0.04000056933965438,295412.6555055405,295412.6555055405,0.8599421296296297,199824682.84244463,-14667016.60377091,200362.23508720117,1.0,0.0,199824.68284244463,-14667.01660377091,200362.23508720117,0.9973170979824486,-0.07320250044818857,89.64206136424013,-196826.75826244446,14667.01660377091,197372.47564986875,0.0,0.0,-196826.75826244446,14667.01660377091,197372.47564986875,-0.9972350887040989,0.07431135752580638,0.3484471220293343,1,0.0029808233733874404,74298.0,0.0
7,100000.00000000001,100000.00000000001,0.050000711674567974,295412.6555055405,295412.6555055405,0.8599768518518518,249128281.89863825,-27986018.271659594,250695.26932207763,1.0,0.0,249128.28189863826,-27986.018271659595,250695.26932207763,0.9937494336144563,-0.11163361138540236,89.55503992711235,-246130.35731863824,27986.018271659595,247716.3095407773,0.0,0.0,-246130.35731863824,27986.018271659595,247716.3095407773,-0.993597707696037,0.11297608269532505,0.4380031001115541,1,0.0008501562673486749,74301.0,0.0
8,100000.00000000001,100000.00000000001,0.10000142334913595,295412.6555055405,295412.6555055405,0.8602083333333334,241307236.27207845,-54533211.73991369,247392.5089002069,1.0,0.0,241307.23627207844,-54533.211739913684,247392.5089002069,0.9754023569461308,-0.22043194429105073,89.11010936147342,-238309.31169207822,54533.211739913684,244469.21937500098,0.0,0.0,-238309.31169207822,54533.211739913684,244469.21937500098,-0.9748029314337776,0.2230678032978174,0.8758217233659457,1,0.0010576879231253182,74321.0,0.0
9,100000.00000000001,100000.00000000001,0.1500021350237039,295412.6555055405,295412.6555055405,0.8605902777777777,204123842.81721562,-61732305.988396056,213254.3570694684,1.0,0.0,204123.84281721563,-61732.30598839606,213254.3570694684,0.9571848642263452,-0.28947734919332285,88.66106711756007,-201125.9182372157,61732.30598839606,210386.57891939813,0.0,0.0,-201125.9182372157,61732.30598839606,210386.57891939813,-0.9559826452345598,0.29342321314158787,1.3091096372721875,1,0.002419492071702537,74354.0,0.0
10,100000.00000000001,100000.00000000001,0.2000028466982719,295412.6555055405,295412.6555055405,0.8611342592592592,213689565.5557861,-98971033.34255153,235496.2756994536,1.0,0.0,213689.5655557861,-98971.03334255153,235496.2756994536,0.9074010402971392,-0.42026581120484857,88.22064225008494,-210691.64097578617,98971.03334255153,232779.36553303438,0.0,0.0,-210691.64097578617,98971.03334255153,232779.36553303438,-0.9051130476850033,0.4251709902031942,1.7503562930461596,1,0.0016951680471296014,74401.0,0.0
